Date,Price,Open,High,Low,Volume,Change
"Sep 06, 2020",10296.4,10092.2,10337.7,10004.7,12.12M,2.02%
"Sep 05, 2020",10092.2,10472.3,10558.7,9897.8,14.72M,-3.63%
"Sep 04, 2020",10472.5,10168.7,10614.2,9960.3,12.50M,2.99%
"Sep 03, 2020",10168.8,11413.2,11442.7,10009.5,9.65M,-10.90%
"Sep 02, 2020",11413.3,11914.4,11947.5,11244.9,20.26M,-4.16%
"Sep 01, 2020",11908.5,11644.2,12045.9,11544.6,579.65K,2.27%
"Aug 31, 2020",11644.2,11701.1,11760.2,11563.8,496.14K,-0.49%
"Aug 30, 2020",11702,11468.1,11704.2,11462.6,409.36K,2.04%
"Aug 29, 2020",11468.1,11527.8,11576.8,11433.5,389.85K,-0.51%
"Aug 28, 2020",11527.4,11327.5,11539,11281.9,464.94K,1.77%
"Aug 27, 2020",11327.4,11462.3,11580.3,11135.3,560.59K,-1.18%
"Aug 26, 2020",11462.3,11324.9,11533.6,11254.6,513.06K,1.21%
"Aug 25, 2020",11324.8,11752.9,11766.9,11131,594.07K,-3.65%
"Aug 24, 2020",11753.5,11641.6,11824.6,11587.1,429.13K,0.96%
"Aug 23, 2020",11641.6,11661.1,11705.4,11520.8,377.33K,-0.17%
"Aug 22, 2020",11661.3,11529.2,11677,11382.1,433.98K,1.15%
"Aug 21, 2020",11529.2,11856.9,11877.4,11495.6,506.38K,-2.76%
"Aug 20, 2020",11856.9,11751,11881,11672.7,430.93K,0.91%
"Aug 19, 2020",11750.2,11944.4,12013.2,11602.6,550.26K,-1.65%
"Aug 18, 2020",11947.6,12283,12381.4,11842,606.79K,-2.73%
"Aug 17, 2020",12282.6,11898.8,12444.1,11764,628.41K,3.22%
"Aug 16, 2020",11899,11845.5,11922.5,11688.9,410.81K,0.45%
"Aug 15, 2020",11845.3,11751.1,11964,11711.5,499.10K,0.80%
"Aug 14, 2020",11750.8,11771.1,11835.5,11651.5,435.44K,-0.17%
"Aug 13, 2020",11770.9,11557.2,11772.9,11298.4,545.67K,1.85%
"Aug 12, 2020",11557.2,11390.4,11605.4,11190.6,549.59K,1.46%
"Aug 11, 2020",11390.4,11889.2,11931.8,11146.7,615.90K,-4.19%
"Aug 10, 2020",11889.2,11681.1,12041.1,11546.9,564.11K,1.78%
"Aug 09, 2020",11681.2,11764.4,11792.8,11527.5,303.00K,-0.71%
"Aug 08, 2020",11764.3,11591.6,11805.5,11533.5,317.06K,1.49%
"Aug 07, 2020",11592,11757.1,11901.8,11352.4,517.00K,-1.40%
"Aug 06, 2020",11757.1,11735,11898.4,11563,554.85K,0.19%
"Aug 05, 2020",11735.1,11184.8,11771.5,11114.5,570.83K,4.92%
"Aug 04, 2020",11184.7,11223.8,11407.8,11043,485.79K,-0.35%
"Aug 03, 2020",11224.4,11066.9,11461.1,10981.6,470.24K,1.42%
"Aug 02, 2020",11066.8,11802.6,12061.1,10730.7,647.95K,-6.24%
"Aug 01, 2020",11803.1,11333.2,11847.7,11226.1,611.47K,4.14%
"Jul 31, 2020",11333.4,11096.5,11434.8,10964.6,530.95K,2.14%
"Jul 30, 2020",11096.2,11105.8,11164.4,10861.6,501.14K,-0.09%
"Jul 29, 2020",11105.9,10908.4,11336.5,10771.8,576.83K,1.81%
"Jul 28, 2020",10908.5,10961.1,11046.1,10873.6,658.37K,-1.04%
"Jul 27, 2020",11022.8,9932.7,11367,9894.6,908.99K,10.98%
"Jul 26, 2020",9932.5,9690,10086.6,9645.9,415.07K,2.35%
"Jul 25, 2020",9704.1,9546.7,9729.3,9536.2,306.29K,1.65%
"Jul 24, 2020",9546.4,9599.2,9626.2,9480.5,359.16K,-0.55%
"Jul 23, 2020",9599.6,9513.6,9646.5,9451.1,425.66K,0.90%
"Jul 22, 2020",9513.7,9387.4,9523.1,9296,386.00K,1.35%
"Jul 21, 2020",9387.3,9162.3,9426.9,9155.1,458.99K,2.46%
"Jul 20, 2020",9162.4,9208.1,9218.4,9139.9,312.98K,-0.50%
"Jul 19, 2020",9208,9170.1,9224.8,9106.4,265.25K,0.41%
"Jul 18, 2020",9170.2,9155.8,9198.8,9126.7,276.40K,0.16%
"Jul 17, 2020",9155.8,9135.4,9181.9,9091.5,310.92K,0.22%
"Jul 16, 2020",9135.3,9198.7,9224.2,9052,429.04K,-0.69%
"Jul 15, 2020",9198.7,9253.6,9270.2,9168.7,429.84K,-0.59%
"Jul 14, 2020",9253.4,9243.1,9274.8,9135.7,453.83K,0.11%
"Jul 13, 2020",9243.6,9300.5,9329.6,9207.6,456.87K,-0.62%
"Jul 12, 2020",9300.8,9234.2,9337.8,9170.4,366.88K,0.73%
"Jul 11, 2020",9233.3,9285.8,9295.5,9184.2,353.92K,-0.56%
"Jul 10, 2020",9285.1,9239,9309.8,9131.9,418.47K,0.53%
"Jul 09, 2020",9235.7,9430.1,9434.5,9176,444.27K,-2.06%
"Jul 08, 2020",9429.9,9256.3,9458.3,9233.1,509.94K,1.88%
"Jul 07, 2020",9256,9338.8,9371.2,9209.3,420.55K,-0.89%
"Jul 06, 2020",9339,9080.4,9363,9063.2,510.27K,2.84%
"Jul 05, 2020",9081,9134.3,9149.6,8932.1,314.10K,-0.58%
